2,Selection message： 配1B班,Selection message： 配1B班,Selection message： 配1B班,Selection message： 配1B班,Selection message： 配1B班,Selection message： 配1B班,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME119 A,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",工程圖學 (Syllabus) Engineering Drawing,Department Compulsory Courses,"506 ,3301 507 ,3301 508 ,3301",沈家傑(Chia-Chieh Shen),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Selection message： 配1A班，使用電腦教室,Selection message： 配1A班，使用電腦教室,Selection message： 配1A班，使用電腦教室,Selection message： 配1A班，使用電腦教室,Selection message： 配1A班，使用電腦教室,Selection message： 配1A班，使用電腦教室,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ME119 B,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",工程圖學 (Syllabus) Engineering Drawing,Department Compulsory Courses,"302 ,3301 303 ,3301 304 ,3301",李其源(Chi-Yuan Lee),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Selection message： 配1B班，使用電腦教室,Selection message： 配1B班，使用電腦教室,Selection message： 配1B班，使用電腦教室,Selection message： 配1B班，使用電腦教室,Selection message： 配1B班，使用電腦教室,Selection message： 配1B班，使用電腦教室,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ME123 A,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",基礎程式設計實驗（一） (Syllabus) Computer Programming Lab. (I) *智慧製造學程,Department Compulsory Courses,"504 ,3301",謝建興(Jiann-Shing Shieh),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Selection message： 配A班,需同時選讀EG004A課程，使用電腦教室。。如欲加選，請確認已加選上EG004A課程，於第三階段再至系辦登記。","Selection message： 配A班,需同時選讀EG004A課程，使用電腦教室。。如欲加選，請確認已加選上EG004A課程，於第三階段再至系辦登記。","Selection message： 配A班,需同時選讀EG004A課程，使用電腦教室。。如欲加選，請確認已加選上EG004A課程，於第三階段再至系辦登記。","Selection message： 配A班,需同時選讀EG004A課程，使用電腦教室。。如欲加選，請確認已加選上EG004A課程，於第三階段再至系辦登記。","Selection message： 配A班,需同時選讀EG004A課程，使用電腦教室。。如欲加選，請確認已加選上EG004A課程，於第三階段再至系辦登記。","Selection message： 配A班,需同時選讀EG004A課程，使用電腦教室。。如欲加選，請確認已加選上EG004A課程，於第三階段再至系辦登記。",113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ME123 B,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",基礎程式設計實驗（一） (Syllabus) Computer Programming Lab. (I) *智慧製造學程,Department Compulsory Courses,"209 ,3301",吳昌暉(Chang-Huei Wu),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Selection message： 配B班，需同時選讀EG004B課程，使用電腦教室。如欲加選，請確認已加選上EG004B課程，於第三階段再至系辦登記。,Selection message： 配B班，需同時選讀EG004B課程，使用電腦教室。如欲加選，請確認已加選上EG004B課程，於第三階段再至系辦登記。,Selection message： 配B班，需同時選讀EG004B課程，使用電腦教室。如欲加選，請確認已加選上EG004B課程，於第三階段再至系辦登記。,Selection message： 配B班，需同時選讀EG004B課程，使用電腦教室。如欲加選，請確認已加選上EG004B課程，於第三階段再至系辦登記。,Selection message： 配B班，需同時選讀EG004B課程，使用電腦教室。如欲加選，請確認已加選上EG004B課程，於第三階段再至系辦登記。,Selection message： 配B班，需同時選讀EG004B課程，使用電腦教室。如欲加選，請確認已加選上EG004B課程，於第三階段再至系辦登記。,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ME125 A,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",工場實習（一） (Syllabus) Workshop Practice (I),Department Compulsory Courses,"406 ,機械工場 407 ,機械工場 408 ,機械工場",李其源(Chi-Yuan Lee),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
