78,ID004 A,"General Education Center(Master Program) , First Year","島嶼、族群與文化 (Syllabus) Islands, Ethnic and Culture",,"503 ,1115 504 ,1115",林煒舒(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
78,Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
79,ID005 A,"General Education Center(Master Program) , First Year",在地文化導覽 (Syllabus) Guide to Local Culture,,"506 ,1115 507 ,1115",林煒舒(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
79,Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
80,ID007 A,"General Education Center(Master Program) , First Year",城市生活與文化敘事 (Syllabus) Recount of the City’s Life and Culture *科技與社會微學程,,"307 ,3101 308 ,3101",黃智明(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
80,Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
81,ID008 A,"General Education Center(Master Program) , First Year",旅遊桃園史 (Syllabus) Taoyuan Tourism and History,,"503 ,1109 504 ,1109",陳錦昌(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
81,Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
82,ID008 B,"General Education Center(Master Program) , First Year",旅遊桃園史 (Syllabus) Taoyuan Tourism and History,,"506 ,1109 507 ,1109",陳錦昌(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
82,Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
83,ID009 A,"General Education Center(Master Program) , First Year",客家與台灣 (Syllabus) Hakka and Taiwan,,"106 ,2111 107 ,2111",張泓斌(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
83,Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選)(要會騎腳踏車),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選)(要會騎腳踏車),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選)(要會騎腳踏車),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選)(要會騎腳踏車),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選)(要會騎腳踏車),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選)(要會騎腳踏車),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
84,ID009 B,"General Education Center(Master Program) , First Year",客家與台灣 (Syllabus) Hakka and Taiwan,,"406 ,2425 407 ,2425",徐富美(Fu-mei Hsu),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
84,Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),Selection message： General Education Interdisciplinary CourseGeneral Education Interdisciplinary Course 通識跨域課程(第一階段開放大四以上學生優先加選),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
85,LE113 A,"General Education Center(Master Program) , First Year",戲劇欣賞 (Syllabus) Drama Appreciation,,"206 ,2603 207 ,2603","李啟睿(Lee, Chi-Jui)",113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
85,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
86,LE113 B,"General Education Center(Master Program) , First Year",戲劇欣賞 (Syllabus) Drama Appreciation,,"208 ,2603 209 ,2603","李啟睿(Lee, Chi-Jui)",113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
86,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
87,LE213 A,"General Education Center(Master Program) , First Year",鄉土音樂 (Syllabus) Folk Music,,"406 ,70112 407 ,70112",趙蓮英(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
87,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
88,LE213 B,"General Education Center(Master Program) , First Year",鄉土音樂 (Syllabus) Folk Music,,"408 ,70112 409 ,70112",趙蓮英(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
88,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
89,LE308 A,"General Education Center(Master Program) , First Year",美學 (Syllabus) Aesthetics,,"203 ,70301 204 ,70301",孫長祥(Chang-Hsiang Sun),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
89,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
90,LE308 B,"General Education Center(Master Program) , First Year",美學 (Syllabus) Aesthetics *Teaching in English,,"509 ,3310 510 ,3310",傅子耕()丁小雨(Caroline Pires Ting)(Caroline Pires Ting),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
90,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
91,LE330 A,"General Education Center(Master Program) , First Year",語言與邏輯 (Syllabus) Language and Logic,,"303 ,1113 304 ,1113","楊濟鶴(Chi-Her,Yang)",113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
91,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
92,LE348 A,"General Education Center(Master Program) , First Year",日本文化概論 (Syllabus) An Introduction to Japanese Culture *人文素養與多元創意微學程,,"206 ,1113 207 ,1113",糠明珊(Ming-shan Kang),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
92,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
93,LE357 A,"General Education Center(Master Program) , First Year",古典音樂欣賞 (Syllabus) Classical Music Appreciation,,"103 ,5103 104 ,5103",周幸諄(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
93,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
94,LE357 B,"General Education Center(Master Program) , First Year",古典音樂欣賞 (Syllabus) Classical Music Appreciation,,"303 ,5103 304 ,5103",周幸諄(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
94,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
95,LE406 A,"General Education Center(Master Program) , First Year",繪本賞析 (Syllabus) A Guide to Picture Storybooks,,"406 ,3304 407 ,3304",王怡云(Yi-Yun Wang),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
95,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
96,LE406 B,"General Education Center(Master Program) , First Year",繪本賞析 (Syllabus) A Guide to Picture Storybooks,,"408 ,3304 409 ,3304",王怡云(Yi-Yun Wang),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
96,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
97,LE418 A,"General Education Center(Master Program) , First Year",英國歷史與文化 (Syllabus) British History and Culture,,"406 ,3104 407 ,3104",關則富(Tse-fu Kuan),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
97,Selection message： 人文藝術人文藝術 人文藝術,Selection message： 人文藝術人文藝術 人文藝術,Selection message： 人文藝術人文藝術 人文藝術,Selection message： 人文藝術人文藝術 人文藝術,Selection message： 人文藝術人文藝術 人文藝術,Selection message： 人文藝術人文藝術 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
98,LE419 A,"General Education Center(Master Program) , First Year",世界主要宗教概論 (Syllabus) Introduction to the Major World Religions,,"303 ,3104 304 ,3104",關則富(Tse-fu Kuan),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
98,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
99,LE425 A,"General Education Center(Master Program) , First Year",俄羅斯思想與文化 (Syllabus) Russian Idea and Culture,,"408 ,2423 409 ,2423",胡逢瑛(Feng-Yung Hu),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
99,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
100,LE432 A,"General Education Center(Master Program) , First Year",文物與文學 (Syllabus) Cultural Relics and Literature *人文素養與多元創意微學程,,"106 ,1115 107 ,1115",黃智信(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
100,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
101,LE440 A,"General Education Center(Master Program) , First Year",輕鬆優雅學易經：中華第一奇典入門 (Syllabus) Learning I-Ching: Introduction to the Legendary Book of China,,"206 ,3110 207 ,3110",陳巍仁(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
101,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
102,LE446 A,"General Education Center(Master Program) , First Year",西方文明與經典 (Syllabus) Western Civilization and The Classics *Teaching in English,,"506 ,3302 507 ,3302",白小明(Jonathon David White),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
102,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,Selection message： Humanities are to be taught in English. 人文藝術，英語授課。Humanities are to be taught in English. 人文藝術，英語授課。 Humanities are to be taught in English. 人文藝術，英語授課。,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
103,LE450 A,"General Education Center(Master Program) , First Year",閱讀產業鏈的導覽與探索 (Syllabus) Exploring the Reading Industry Chain,,"406 ,1111 407 ,1111",陳巍仁(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
103,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
104,LE451 A,"General Education Center(Master Program) , First Year",原住民族文化概論 (Syllabus) Introduction to Indigenous Peoples' Culture,,"307 ,70109 308 ,70109","李瑞和(LEE,JUI-HO)",113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
104,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,Selection message： HumanitiesHumanities 人文藝術,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
105,LS201 A,"General Education Center(Master Program) , First Year",生命科學概論 (Syllabus) Introduction to Life Science *Teaching in English,,"206 ,2103 207 ,2103",黃麗芬(Li-Fen Huang),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
105,Selection message： Life Sciences are to be taught in English.生命科學，英語授課。Life Sciences are to be taught in English.生命科學，英語授課。 Life Sciences are to be taught in English.生命科學，英語授課。,Selection message： Life Sciences are to be taught in English.生命科學，英語授課。Life Sciences are to be taught in English.生命科學，英語授課。 Life Sciences are to be taught in English.生命科學，英語授課。,Selection message： Life Sciences are to be taught in English.生命科學，英語授課。Life Sciences are to be taught in English.生命科學，英語授課。 Life Sciences are to be taught in English.生命科學，英語授課。,Selection message： Life Sciences are to be taught in English.生命科學，英語授課。Life Sciences are to be taught in English.生命科學，英語授課。 Life Sciences are to be taught in English.生命科學，英語授課。,Selection message： Life Sciences are to be taught in English.生命科學，英語授課。Life Sciences are to be taught in English.生命科學，英語授課。 Life Sciences are to be taught in English.生命科學，英語授課。,Selection message： Life Sciences are to be taught in English.生命科學，英語授課。Life Sciences are to be taught in English.生命科學，英語授課。 Life Sciences are to be taught in English.生命科學，英語授課。,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
106,LS204 A,"General Education Center(Master Program) , First Year",中醫的科學觀 (Syllabus) Science of Chinese Medicine,,"406 ,2423 407 ,2423",洪禹利(),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
106,Selection message： Life ScienceLife Science 生命科學,Selection message： Life ScienceLife Science 生命科學,Selection message： Life ScienceLife Science 生命科學,Selection message： Life ScienceLife Science 生命科學,Selection message： Life ScienceLife Science 生命科學,Selection message： Life ScienceLife Science 生命科學,113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
107,LS206 A,"General Education Center(Master Program) , First Year",中醫概論與中醫保健 (Syllabus) Introduction to Chinese Medicine and Healthcare,,"401 ,2101 402 ,2101",張育佳(Yuh-Chia Chang),113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901901GeneralEducationCenterFreshmen,,,,,,,,,,,,,,,,,,,,,
