Course_Code,Section,Course_Name_EN,Original_Course_Name,Teaching_in_English,Program_Year,Course_Type,Instructor_EN,Original_Index
IE337,A,Practical Electronic Commerce 電子化供應鏈,Practical Electronic Commerce *電子化供應鏈,False,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Elective Courses,CHEN YIN AN,892
IE342,A,Procurement Management 電子化供應鏈,Procurement Management *電子化供應鏈,False,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Elective Courses,,893
IE346,A,General Printed Circuit Board Technology 工業4.0－智慧生產學程,General Printed Circuit Board Technology *工業4.0－智慧生產學程,False,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Elective Courses,Yuan-Jye Tseng,894
IE348,A,Production Planning and ControlII Teaching in English,Production Planning and ControlII *Teaching in English,True,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Compulsory Courses,Chi-Yang Tsai,895
IE348,B,Production Planning and ControlII Teaching in English,Production Planning and ControlII *Teaching in English,True,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Compulsory Courses,Chi-Yang Tsai,896
IE349,A,Facilities Planning,Facilities Planning,False,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Compulsory Courses,Ching-Jung Ting,897
IE349,B,Facilities Planning,Facilities Planning,False,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Compulsory Courses,Ching-Jung Ting,898
IE354,A,Cloud Computing Technology and Services,Cloud Computing Technology and Services,False,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Elective Courses,"SZU-KUN,LU",899
IE376,A,Quality Management in Healthcare,Quality Management in Healthcare,False,"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",Department Elective Courses,Hou-Tai Chang,900
DE102,A,Calculus II Teaching in English,Calculus II *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,NGUYEN THI MY HANH,901
DE104,A,Computer Programming Lab.II Teaching in English 智慧製造學程,Computer Programming Lab.II *Teaching in English *智慧製造學程,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Jiann-Shing Shieh,902
DE108,A,General Physics Teaching in English,General Physics *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Niann-i Yu,903
DE110,A,Introduction to Mechanical Engineering Teaching in English,Introduction to Mechanical Engineering *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chwan-Hsen Chen,904
DE111,A,Introduction to Biotechnology and Biomedicine Teaching in English,Introduction to Biotechnology and Biomedicine *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Li-Fen Huang,905
DE211,A,Engineering Drawing Teaching in English,Engineering Drawing *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,"CHEN,SONG-YU",906
DE102,A,Calculus II Teaching in English,Calculus II *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,NGUYEN THI MY HANH,907
DE104,A,Computer Programming Lab.II Teaching in English 智慧製造學程,Computer Programming Lab.II *Teaching in English *智慧製造學程,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Jiann-Shing Shieh,908
DE108,A,General Physics Teaching in English,General Physics *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Niann-i Yu,909
DE110,A,Introduction to Mechanical Engineering Teaching in English,Introduction to Mechanical Engineering *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chwan-Hsen Chen,910
DE111,A,Introduction to Biotechnology and Biomedicine Teaching in English,Introduction to Biotechnology and Biomedicine *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Li-Fen Huang,911
DE211,A,Engineering Drawing Teaching in English,Engineering Drawing *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,"CHEN,SONG-YU",912
DE121,A,Materials Science Teaching in English 全校性跨領域--材料科技學程,Materials Science *Teaching in English *全校性跨領域--材料科技學程,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,913
DE201,A,Special Topics in Engineering I Teaching in English,Special Topics in Engineering I *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Li-Fen Huang,914
DE204,A,Experimental Design Teaching in English,Experimental Design *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,YOGI TRI PRASETYO,915
DE207,A,Green Ergonomics & Sustainable Manufacturing Teaching in English,Green Ergonomics & Sustainable Manufacturing *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,YOGI TRI PRASETYO,916
DE217,A1,Engineering Mathematics II Teaching in English,Engineering Mathematics II *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Yur-Tsai Lin,917
DE218,A,Mechanics of Materials Teaching in English,Mechanics of Materials *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chia-Chieh Shen,918
DE235,A,Transport Phenomena and Unit Operations I Teaching in English 全校性跨領域--綠色能源學程,Transport Phenomena and Unit Operations I *Teaching in English *全校性跨領域--綠色能源學程,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chau-Kuang Liau,919
DE235,B,Transport Phenomena and Unit Operations I Teaching in English 全校性跨領域--綠色能源學程,Transport Phenomena and Unit Operations I *Teaching in English *全校性跨領域--綠色能源學程,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chau-Kuang Liau,920
DE236,A,Physical Chemistry II Teaching in English,Physical Chemistry II *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,921
DE236,B,Physical Chemistry II Teaching in English,Physical Chemistry II *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,,922
DE253,A,Linear Algebra Teaching in English,Linear Algebra *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,NGUYEN THI MY HANH,923
DE253,B,Linear Algebra Teaching in English,Linear Algebra *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,NGUYEN THI MY HANH,924
DE354,A,Production Planning and Control II Teaching in English,Production Planning and Control II *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chi-Yang Tsai,925
DE354,B,Production Planning and Control II Teaching in English,Production Planning and Control II *Teaching in English,True,"International Bachelor Program in Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chi-Yang Tsai,926
EEA112,A,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,Digital Logic Design *智慧型控制學程 *數位科技應用學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Huang-Chia Shih,927
EEA112,B,Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,Digital Logic Design *智慧型控制學程 *數位科技應用學程 *積體電路設計學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Duan-Yu Chen,928
EEA122,A,General PhysicsII Teaching in English,General PhysicsII *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,929
EEA122,B,General PhysicsII Teaching in English,General PhysicsII *Teaching in English,True,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,930
EEA124,A,General Physics Lab.II,General Physics Lab.II,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,931
EEA124,B,General Physics Lab.II,General Physics Lab.II,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,932
EEA125,A,CalculusII,CalculusII,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,933
EEA125,B,CalculusII,CalculusII,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,934
EEA128,A,Digital Logic Design Laboratory,Digital Logic Design Laboratory,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,935
EEA128,B,Digital Logic Design Laboratory,Digital Logic Design Laboratory,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,936
EEA130,A,Programming Language Lab.II 智慧電網學程 數位科技應用學程,Programming Language Lab.II *智慧電網學程 *數位科技應用學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,937
EEA130,B,Programming Language Lab.II 智慧電網學程 數位科技應用學程,Programming Language Lab.II *智慧電網學程 *數位科技應用學程,False,"Department of Electrical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,,938
