Course_Name,Taught_in_English
Production Planning and ControlII Teaching in English,True
Professional Practice Community Art Festival Curation and Execution,False
Program Design & Evaluation,False
Programming Language Lab I,False
Programming Language Lab II,False
Programming Language Lab.II 智慧電網學程 數位科技應用學程,False
Programming Language Labs I 人工智慧學程,False
Programming Language Labs II,False
Programming Language LabsI Teaching in English,True
Programming Languages,False
Programming with Mobile Applications 物聯網學程,False
ProgrammingI 資訊安全微學程 數據分析微學程,False
ProgrammingII,False
Project Management,False
Projects Production,False
Qualitative Research,False
Quality Management in Healthcare,False
Quantitative Investing and Program Trading Practices,False
Quantitative Method Decision Making,False
Quantitative Research Method Teaching in English,True
Quantum Computers and Quantum,False
Random Signal Processing,False
Reading Guidance,False
Reading and Discussion,False
Recount of the City’s Life and Culture 科技與社會微學程,False
Regenerative Medicine Teaching in English,True
Reinforcement Learning Teaching in English 人工智慧學程,True
Research Methodologies,False
Research Methodology,False
Research Methodology Teaching in English,True
Research Methodology and Paper Writing,False
Research Methodology for Social Sciences Teaching in English,True
Research Project,False
Research Project I 全校性跨領域--綠色能源學程,False
Research in Applied Linguistics Teaching in English,True
Research of Information Communication Industry Teaching in English,True
Research of Intellectual Property Teaching in English,True
Researching Project,False
Robot Operating System,False
Robotics Teaching in English,True
Robotics 智慧製造學程,False
Russian Idea and Culture,False
School Sport Team Training,False
Science & Technology Innovation and Foresight Thinking,False
Science and Technology English Conversation Teaching in English,True
Science and Technology English Writing Teaching in English 專業科技傳播學程,True
Science of Chinese Medicine,False
Selected Topics in Social Enterprise,False
Selected Topics in Sustainability and Corporate Social Responsibility,False
Self Management and Career Development,False
Self Management and Career Development Teaching in English,True
Semiconductor Optics,False
Semiconductor Optics Laboratory,False
Seminar,False
Seminar in Advanced Information ManagementI,False
Seminar in Advanced Information ManagementII,False
Seminar in Advanced Information ManagementIII,False
Seminar in Art Festival and Creative City,False
"Seminar in Community, Ethnics, and the Sixth Industries",False
Seminar in Cultural Governance and Policy,False
Seminar in Cultural Studies,False
Seminar in Europe Culture and Creative Industries,False
Seminar on Audit Profession,False
Seminar on Cultural Industries: Theories and Policies,False
Seminar on Finance II,False
Seminar on Information CommunicationI,False
Seminar on Information CommunicationII,False
Seminar on Information Technology Management Teaching in English,True
Seminar on Research ProjectsI,False
Seminar on Research ProjectsII,False
SeminarI,False
SeminarI Teaching in English,True
SeminarII,False
SeminarIV,False
Service Industry Management,False
Service Systems Design Teaching in English,True
Signal Detection,False
Signals and Systems 智慧生醫學程,False
Simulation Teaching in English,True
Social Media Analytics,False
Social Network Data Analytics,False
Social Psychology,False
Social Research MethodsII,False
Social Statistics II Teaching in English,True
Social Stratification & Mobility,False
Sociolinguistics Teaching in English,True
Sociological Theory,False
Sociology of Consumption,False
Software Defined Networking: Innovative Applications and Practice,False
Software Defined Radio With Lab.,False
SpanishII,False
SpanishIV,False
Special ProjectI,False
Special ProjectII,False
Special Topics Research on Modern Poems,False
Special Topics in Chinese Thoughts,False
Special Topics in Classical Chinese Literature,False
Special Topics in Cultural Diversity Teaching in English,True
Special Topics in Engineering I Teaching in English,True
Special Topics in Investment Management Teaching in English,True
Special Topics in Taiwan Literature,False
Special Topics in e-Business,False
Special Topics on Chinese Culture,False
Special Topics on Computer Assisted Instruction,False
Special Topics on Controlled Drug Release Teaching in English 生技醫藥產業學程,True
Special Topics on Distributed Systems,False
Special Topics on Electrochemistry Teaching in English 全校性跨領域--材料科技學程,True
Special Topics on Electronic Design Automation,False
Special Topics on Ethnic Languages and Culture,False
Special Topics on Intelligent Systems,False
Special Topics on Medical Care and Health,False
Special Topics on Mobile Multimedia Networking,False
Special Topics on Optoelectronic Materials,False
Special Topics on Organic Semiconductor Materials,False
Special Topics on Proton-exchange-membrane Fuel Cells Teaching in English 全校性跨領域--材料科技學程,True
Special Topics on Public Administration,False
Special Topics on Public Policy,False
Special Topics on Separations Technology Teaching in English,True
Special Topics on Social Policy,False
Special Topics on Social Statistics,False
Special Topics on Sociology of Family,False
Special Topics on Software Engineering,False
Special Topics on Topics on Professional Ethics and Decision-Making,False
Special Topics on the Interpretation of Confucian Canons,False
Special topics on Population Studies and Policies,False
Special topics on next generation network and network implementation,False
Special topics on statistical genomics,False
Speech and Debate Teaching in English,True
Statistical Modeling and Computerized Implementations 人因工程與設計 工業4.0－智慧生產學程,False
StatisticsⅠ,False
Stochastic Control,False
Strategic Alliance,False
Strategic Theories and Management Teaching in English,True
Strategic Thinking and Problem Solving,False
Studies for Exhibition and Practice in Contemporary Visual Art,False
Survey Research,False
Sustainability Accounting and Assurance,False
Sustainability and Corporate Governance,False
Sustainable Development,False
Sustainable Development: Carbon Neutrality and Carbon Trading,False
Swimming,False
Systems Engineering,False
Table Tennis,False
Taguchi Quality Engineering,False
Taiwanese Art History,False
Talent Density and Team Competitiveness,False
Taoyuan Tourism and History,False
Team Building and Management,False
Technical Writing,False
Technical Writing Teaching in English,True
Technology Development and Society Change,False
Technology-Enhanced Language Learning Teaching in English,True
Tennis,False
The Advanced VLSI System Design Teaching in English,True
The Commercial Law,False
The Commercial Law Teaching in English,True
The Development of Careers II,False
The Development of Careers VI,False
The Dialogue between Humanities and Sciences on Food,False
The History of Chinese Art,False
The Past and the Future of the Digital Technologies 科技與社會微學程 數位與創新永續微學程,False
Theory and Practice of English for Specific Purposes,False
Thermodynamics I Teaching in English 全校性跨領域--綠色能源學程,True
Thermodynamics I 全校性跨領域--綠色能源學程,False
Thermodynamics II 全校性跨領域--綠色能源學程,False
Topics in Japanese Grammar,False
Topics on ICT & Innovation,False
Training Course of ISO 14067,False
Transforming Consumer Behavior in The Digital Age Teaching in English,True
Transmission Standards of Digital Home Network 物聯網學程 數位科技應用學程,False
Transnational Management,False
Transport Phenomena and Unit Operations I Teaching in English 全校性跨領域--綠色能源學程,True
Transport Phenomena and Unit OperationsI Teaching in English 全校性跨領域--綠色能源學程,True
Travel in Taiwan with Geosciences,False
University Social Responsibility and Community Development,False
User Experience Research of Digital Media Teaching in English,True
User-Interface Design 互動多媒體微學程 互動多媒體學程,False
VLSI Signal Processing Teaching in English 積體電路設計學程,True
VLSI Testing & Design,False
VLSI Testing & Design 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False
Virtual Reality Teaching in English 互動媒體學程 含微學程,True
Visual Arts Administration,False
Visual Effects for Film and Video,False
Vocational Training,False
Volleyball,False
Web Programming 互動多媒體微學程 互動多媒體學程 智慧校園與智慧照護學程,False
Website Programming Practice,False
Western Civilization and The Classics Teaching in English,True
Windows Programming,False
Windows Programming 互動多媒體微學程 互動多媒體學程,False
Windows ProgrammingII,False
Wireless Networking,False
Wireless Power Transfer Technology in 5G and IoT Era Teaching in English,True
Woodball,False
Work Study,False
Work-Place English Teaching in English,True
Work-Place Japanese Conversation,False
Workshop Practice I,False
Workshop Practice II,False
Yoya Fitness,False
