Course_Name,Taught_in_English
Digital Fabrication Design: Physical and Virtual Space,False
Digital Governance,False
Digital Image Processing Teaching in English,True
Digital Learning,False
Digital Learning and Interface Design,False
Digital Literacy in the Age of AI Teaching in English,True
Digital Logic Design Laboratory,False
Digital Logic Design 智慧型控制學程 數位科技應用學程 積體電路設計學程,False
Digital Marketing in Practice 電子化企業學程,False
"Digital Media Literacy, Thinking, and Practice",False
Digital Multimedia Applications Teaching in English,True
Digital Signal Processing,False
Digital System Design,False
Digital Systems Design and Practice,False
Digital VLSI Design 人工智慧「智慧終端晶片設計」微學程 人工智慧學程 積體電路設計學程,False
Discovering the Earth's Atmosphere,False
Discrete Mathematics,False
Discrete Mathematics Teaching in English,True
Drama Appreciation,False
Drama Theatre English Teaching in English,True
Drawing,False
E-Business Management,False
Economics,False
EconomicsII,False
EconomicsII Teaching in English,True
Efficient Investments and Financial Planning,False
Electrical Topics,False
Electro-Optics Programming,False
Electrochemical Engineering 全校性跨領域--綠色能源學程,False
Electromagnetics for high speed digital system design Teaching in English,True
ElectromagneticsI 全校性跨領域--綠色能源學程 智慧電網學程,False
ElectromagneticsII 智慧電網學程,False
Electronic Circuits ExperimentsI Teaching in English,True
Electronic Circuits ExperimentsII,False
Electronic Circuits Lab.I,False
Electronic Circuits Lab.II Teaching in English,True
Electronic Commerce Teaching in English,True
Electronic Design Automation Teaching in English 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True
ElectronicsI Teaching in English,True
ElectronicsI 全校性跨領域--材料科技學程 全校性跨領域--綠色能源學程 智慧型控制學程 智慧電網學程 積體電路設計學程,False
ElectronicsII 智慧型控制學程 積體電路設計學程,False
Elementary Japanese ConversationI,False
Elementary Japanese ConversationII,False
Embedded Real-Time Operating Systems,False
Empirical Finance Teaching in English,True
Empirical Statistical Analysis II,False
Energy Technology,False
Engineering Drawing,False
Engineering Drawing Teaching in English,True
Engineering Graphics,False
Engineering Materials 全校性跨領域--材料科技學程,False
Engineering Mathematics,False
Engineering Mathematics I,False
Engineering Mathematics I Teaching in English,True
Engineering Mathematics II,False
Engineering Mathematics II Teaching in English,True
Engineering MathematicsI,False
Engineering MathematicsI Teaching in English,True
Engineering MathematicsII,False
English Around the World 寰宇文化微學程,False
English Consecutive Interpreting,False
English Listening and Reading I Teaching in English,True
English Listening and Reading II Teaching in English,True
English Oral InterpretationI,False
English Outside Reading,False
English Outside ReadingI,False
English Outside ReadingII,False
English Outside ReadingIII,False
English Outside ReadingIV,False
English Presentation Skills Teaching in English,True
English Public Speaking Teaching in English 寰宇文化微學程,True
English Reading and Writing Teaching in English,True
English Teaching Materials and Activities Teaching in English,True
English Testing,False
English Through Literature & Reading,False
English Translation in Practice,False
English TranslationI,False
English Writing Teaching in English,True
English for Business Studies Teaching in English,True
English for Engineering & Technology,False
English for Tourism Teaching in English 寰宇文化微學程,True
English for Tourism 寰宇文化微學程,False
EnglishI: Freshmen English ; advanced-level Teaching in English 寰宇文化微學程,True
EnglishI: Freshmen English; Entry-level Teaching in English 寰宇文化微學程,True
EnglishI: Freshmen English; Entry-level 寰宇文化微學程,False
EnglishI: Freshmen English; Intermediate-level Teaching in English 寰宇文化微學程,True
EnglishI: Freshmen English; Intermediate-level 寰宇文化微學程,False
EnglishII: Freshmen English ; Intermediate-level Teaching in English 寰宇文化微學程,True
EnglishII: Freshmen English ; Intermediate-level 寰宇文化微學程,False
EnglishII: Freshmen English ; advanced-level Teaching in English 寰宇文化微學程,True
EnglishII: Freshmen English ; advanced-level 寰宇文化微學程,False
EnglishII: Freshmen English; Entry-level Teaching in English 寰宇文化微學程,True
EnglishII: Freshmen English; Entry-level 寰宇文化微學程,False
Enterprise Financial Analysis and Decision Making,False
Environmental Biotechnology 生技醫藥產業學程,False
Environmental Systems Engineering Teaching in English,True
Ethical Decisions and Corporate Social Responsibility 人文素養與多元創意微學程,False
Exhibition Display Technology Teaching in English 互動多媒體微學程 互動多媒體學程 互動媒體學程 含微學程,True
Exhibition and Curator,False
Experimental Design Teaching in English,True
Experimental Design and Applications,False
Exploring Biotechnology Teaching in English,True
Exploring the Reading Industry Chain,False
Facilities Planning,False
Fermentation Engineering,False
Field Study,False
Field StudyI,False
Field StudyII,False
Figures and Chinese History,False
Financial Data Analytics,False
Finite Element Method,False
Fire Protection Engineering,False
Fixed Income Security Analysis,False
Folk Music,False
Food Safety and Biotechnology,False
Fourier Optics,False
Free Weight Exercise,False
FrenchII,False
FrenchIV,False
Fundamental Cloud Computing and Practic,False
Fundamental Computer Programming I,False
Fundamental Computer Programming I Teaching in English 智慧製造學程,True
Fundamental Computer Programming I 智慧製造學程,False
Fundamental Computer Programming- C++ LabI Teaching in English,True
Fundamental Computer Programming- C++ LabII,False
Fundamental Computer Programming- C++ LabII Teaching in English,True
Fundamental Computer Programming- Python Teaching in English 人工智慧學程,True
Fundamental Computer Programming- Python 人工智慧學程,False
Fundamental Computer Programming- PythonI,False
Fundamental Computer Programming- Web Programming II,False
Fundamental Computer Programming-C 智慧電網學程 數位科技應用學程,False
Fundamental Computer ProgrammingI,False
Fundamental Computer ProgrammingII,False
Fundamental Computer ProgrammingII Teaching in English 智慧製造學程,True
Fundamental Computer ProgrammingII 智慧製造學程,False
Fundamental Statistical Analysis,False
Fundamental of Data Structures,False
Fundamental of Digital Makers 科技創業與管理微學程 科技與社會微學程 數位與創新永續微學程,False
Fundamentals of ArtsI: Drawing,False
Fundamentals of ArtsII: Creative Drawing,False
Fundamentals of Digital Audiovisual Design Teaching in English,True
Future Interaction Design: Between Machines and Humans,False
Fuzzy Systems Theory and Applications,False
Game Planning,False
Game Programming,False
Gender Education,False
General Chemistry,False
General Chemistry & Analysis Laboratory,False
General Chemistry Teaching in English,True
General Education Forum,False
General Physics,False
General Physics Lab.,False
General Physics Lab.I,False
General Physics Lab.II,False
General Physics Teaching in English,True
General PhysicsI,False
General PhysicsI Teaching in English,True
General PhysicsII,False
General PhysicsII Teaching in English,True
General Printed Circuit Board Technology 工業4.0－智慧生產學程,False
Generative AI and Applications Teaching in English,True
GermanII,False
GermanIV,False
Global Cities and Social Space Teaching in English,True
Graduation Project I,False
Graduation Project II,False
Graph Theory Teaching in English,True
Green Ergonomics & Sustainable Manufacturing Teaching in English,True
Greenhouse Gas Inventory Technology,False
Guide to Local Culture,False
Guided Practice in English Research Writing Teaching in English,True
Hakka and Taiwan,False
Health Management,False
Health Promotion & Healthy Life,False
Health and Life,False
"Health, Leisure and Life",False
Health-Related Physical Fitness,False
Heat Transfer Teaching in English,True
High Frequency Circuit Design,False
High-Tech Business Management,False
History of Science Teaching in English,True
Human Behavior in the Environment 老人福祉科技跨域產業學程,False
Human Computer Interaction Application Teaching in English,True
Human Development 智慧校園與智慧照護學程,False
Human Factors,False
Human Resources Management,False
Human-Computer Interaction Design 互動多媒體微學程 互動多媒體學程,False
IELTS Test Preparation Teaching in English,True
Illustration,False
Image Inspection and Detection Technique,False
Image Processing,False
Image Processing 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 人工智慧學程 互動多媒體微學程 互動多媒體學程 數位科技應用學程,False
Incineration,False
Independent Research I,False
Industrial Accounting,False
Industrial Microbiology 生技醫藥產業學程,False
Influencer Marketing,False
Information Ethics,False
Information Industry and Regulation Teaching in English,True
Information Management Theory and Practice,False
Information Management Theory and Practice Teaching in English,True
Information Security,False
Information and Communication Technology for Intelligent Applications,False
Information and Law 電子化供應鏈,False
Information and Social Innovation,False
Innovation and Technology Management,False
Innovations in Medical High-Tech Applications Teaching in English,True
Inorganic Chemistry,False
Inorganic Materials 全校性跨領域--材料科技學程,False
Inorganic Nanomaterials,False
Intellectual Property,False
Intellectual Property Rights 文化產業微學程 文化產業學程（學士班） 科技創業與管理微學程,False
Intellectual Property Teaching in English,True
Intelligent Management Systems,False
Interactive Script Production,False
Interactive Video Game Development Teaching in English 互動多媒體微學程 互動多媒體學程,True
Intercultural Communication Skills Teaching in English,True
International Business English Teaching in English,True
International Finance and Trade Teaching in English,True
International Human Resource Management Teaching in English,True
International Mobile Learning,False
Internet of Things,False
"Internet of Things: Introduction, Technologies, and Applications Teaching in English 物聯網學程",True
Internship Ⅰ,False
InternshipII,False
Introduction of Economics Teaching in English,True
Introduction of Electronic Engineering,False
Introduction of Social Work,False
Introduction to Algorithms 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 金融科技微學程四,False
Introduction to Artificial Intelligence and Information Technology Teaching in English,True
Introduction to Biology Teaching in English,True
Introduction to Biology 人工智慧與生物資訊微學程 人工智慧與生物資訊學程,False
Introduction to Biotechnology and Biomedicine Teaching in English,True
Introduction to Business Management 電子化企業學程,False
Introduction to Calculus,False
Introduction to Chemical Engineering & Material Science,False
Introduction to Chemical Engineering & Materials Science Teaching in English,True
Introduction to Chinese Literature,False
Introduction to Chinese Medicine and Healthcare,False
Introduction to Cloud Computing Teaching in English,True
Introduction to Common Diseases,False
Introduction to Compiler Teaching in English 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True
Introduction to Compiler 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False
Introduction to Computer Graphics in Design II Teaching in English,True
Introduction to Computer Networks,False
Introduction to Computer Science Teaching in English,True
Introduction to Computer Science Teaching in English 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True
Introduction to Computer Science 物聯網學程,False
Introduction to Computer Science 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False
Introduction to Computer Software and Applications Teaching in English,True
Introduction to Computer Vision and Image Processing,False
Introduction to Computer and Network Security,False
Introduction to Cosmetics and Its Application,False
Introduction to Cultural Studies Teaching in English 文化產業微學程 文化產業學程（學士班） 文創產業與管理微學程 文創產業與管理學程（人社院） 另類DIY文創微學程,True
Introduction to Data Analytics 「社會數據分析」跨領域微學程 數據分析微學程,False
Introduction to Data Communications,False
Introduction to Data Science,False
Introduction to Database System 人工智慧與生物資訊微學程 人工智慧與生物資訊學程,False
Introduction to Design Principles Teaching in English,True
Introduction to Drugs,False
Introduction to Electric Circuits and Electronics,False
Introduction to Electronic Material 全校性跨領域--材料科技學程,False
Introduction to Energy Technology,False
Introduction to Indigenous Peoples' Culture,False
Introduction to Industrial Engineering Teaching in English,True
Introduction to Information Security Management 資訊安全微學程,False
Introduction to Intelligent Production 工業4.0－智慧生產學程 智慧製造學程,False
Introduction to Japanese Literature 數位文創出版產業學程,False
Introduction to Java 互動多媒體微學程 互動多媒體學程,False
Introduction to Learning Chinese as a Foreign Language Teaching in English,True
Introduction to Life Education,False
Introduction to Life Science Teaching in English,True
Introduction to Life and Death,False
Introduction to Magnetic Materials Teaching in English 全校性跨領域--材料科技學程,True
Introduction to Manufacturing Processes 智慧製造學程,False
Introduction to Marketing Teaching in English 跨文化行銷與溝通管院 跨文化行銷與溝通學程,True
Introduction to Mechanical Engineering,False
Introduction to Mechanical Engineering Teaching in English,True
Introduction to Medical Engineering,False
Introduction to Medical EngineeringI,False
Introduction to Medical EngineeringII,False
Introduction to Medical ImagingI,False
Introduction to Medical Informatics,False
Introduction to Multimedia,False
Introduction to Nursing 智慧校園與智慧照護學程,False
Introduction to Operating System Teaching in English 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True
Introduction to Operating System 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False
Introduction to Power System Integration,False
Introduction to Psychology,False
Introduction to Public Health,False
Introduction to RF System Design for Mobile Communications Systems,False
Introduction to Reading Skills in Japanese,False
Introduction to Semiconductor Industry,False
Introduction to Semiconductor Manufacturing Technology,False
Introduction to Therapeutic Radiology,False
Introduction to Thesis Writing,False
Introduction to VLSI Design 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False
Introduction to Western LiteratureI Teaching in English 文化產業微學程 文化產業學程（學士班） 文創產業與管理微學程 文創產業與管理學程（人社院） 文創產業與管理學程（管院）,True
Introduction to Wireless Internet,False
Introduction to the English Language Teaching in English,True
Introduction to the Major World Religions,False
Introduction to the Study of Law,False
Introductory English-Chinese Translation 寰宇文化微學程,False
"Islands, Ethnic and Culture",False
Japanese Children's Literature,False
Japanese Communication Techniques,False
Japanese Conversation,False
Japanese Culture 文化產業微學程 文創產業與管理微學程 文創產業與管理學程（人社院） 文創產業與管理學程（管院）,False
Japanese I,False
Japanese II,False
Japanese III,False
Japanese Language Lab.I,False
Japanese Language Lab.II,False
Japanese Literature and Culture,False
Japanese Oral Interpretation,False
