Course_Code,Course_Name,Taught_in_English,Total_Sections,Sections
CM736,Empirical Statistical Analysis II,False,1,M
CM739,Blockchain in Finance 人工智慧與金融科技微學程 人工智慧與金融科技學程,False,1,S3
CM741,Data Analytics and Disruptive Technologies Teaching in English,True,1,S2
CM742,Transforming Consumer Behavior in The Digital Age Teaching in English,True,1,E
CM753,Quantitative Investing and Program Trading Practices,False,1,S1
CM755,Deep Learning,False,1,S3
CM760,Influencer Marketing,False,1,D
CM761,Sustainability Accounting and Assurance,False,1,S2
CM762,Sustainability and Corporate Governance,False,1,S3
CM901,Research Methodology for Social Sciences Teaching in English,True,1,A
CM943,Strategic Theories and Management Teaching in English,True,1,A
CM951,Special Topics in Investment Management Teaching in English,True,1,A
CM953,Behavioral Science Theories and Management Teaching in English,True,1,A
CM964,Data Analysis and Business Decision,False,1,B
CM965,Business Diagnosis,False,1,B
CM973,Management Theories and Application,False,1,B1
CS106,Computer ProgrammingI 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 互動多媒體微學程 互動多媒體學程 智慧校園與智慧照護學程,False,3,"A, B"
CS107,Discrete Mathematics,True,2,"A, B"
CS114,Computer ProgrammingII 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 互動多媒體微學程 互動多媒體學程,False,3,"A, B"
CS140,Introduction to Computer Science 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,True,2,"A, B"
CS147,CalculusI,False,1,A
CS148,CalculusII,False,2,"A, B"
CS151,Website Programming Practice,False,1,A
CS152,General Physics,False,1,A
CS153,Circuit Theory,True,3,"A, B1"
CS154,Introduction to Medical EngineeringI,False,1,A
CS155,Introduction to Medical EngineeringII,False,1,A
CS156,Introduction to Medical Informatics,False,1,A
CS157,Competitive ProgrammingI,False,1,A
CS203,Data Structures 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 互動多媒體微學程 互動多媒體學程,False,3,"A, B"
CS204,Digital System Design,False,1,A
CS205,Engineering Mathematics,False,1,A
CS206,Digital Systems Design and Practice,False,2,"A, B"
CS222,Programming Languages,False,1,A
