Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"International Language and Culture Center(Master Program) , First Year",LC103,H4,英語（一）：基礎英語,EnglishI: Freshmen English; Entry-level *寰宇文化微學程,,簡洛汾,,"503 ,1205 504 ,1205"
"College of Medicine and Nursing(Master Program) , First Year",MN021,A1,基礎生醫程式設計（一）,Basic biomedical programming I *智慧校園與智慧照護學程,,石曜嘉,"SHIH,YAO-CHIA","108 ,5003 109 ,5003"
"School of Nursing(Undergraduate Program), Freshmen",SN004,A,護理專業生涯發展,Nursing Professional Career Development,Department Elective Courses,蘇英華,"Su,Ying-Hwa","206 ,2606 207 ,2606 208 ,2606"
"School of Nursing(Undergraduate Program), Freshmen",SN006,A1,健康促進與健康生活,Health Promotion & Healthy Life,Department Elective Courses,陸瑞玲,"Ray-Ling,Luh","203 ,2606 204 ,2606"
"School of Nursing(Undergraduate Program), Freshmen",SN007,A,輔助與另類療法,Complementary and Alternative Medicine,Department Elective Courses,陸瑞玲,"Ray-Ling,Luh","406 ,2606 407 ,2606"
"School of Nursing(Undergraduate Program), Freshmen",SN021,A,護理科技與實務應用,Nursing Technology and Practical Applications,Department Elective Courses,施雅玲,"SHIH,YA-LING","307 ,2606 308 ,2606"
"School of Nursing(Undergraduate Program), Freshmen",SN101,A,解剖學,Anatomy,Department Compulsory Courses,蔡雅慧,"Tsai,Ya-Hui","302 ,2606 303 ,2606 304 ,2606"
"School of Nursing(Undergraduate Program), Freshmen",SN102,A,生理學,Physiology,Department Compulsory Courses,蔡雅慧,"Tsai,Ya-Hui","502 ,2606 503 ,2606 504 ,2606"
"School of Nursing(Undergraduate Program), Freshmen",SN103,A,護理學導論,Introduction to Nursing *智慧校園與智慧照護學程,Department Compulsory Courses,林佩芬,Pay-Fan Lin,"506 ,2606 507 ,2606"
"College of Engineering(Master Program) , First Year",EG005,A,基礎程式設計(二),Fundamental Computer ProgrammingII,,蔡介元,Chieh-Yuan Tsai,"106 ,5002 107 ,5002"
"College of Engineering(Master Program) , First Year",EG005,B,基礎程式設計(二),Fundamental Computer ProgrammingII,,蔡介元,Chieh-Yuan Tsai,"108 ,5002 109 ,5002"
"College of Engineering(Master Program) , First Year",EG009,A,基礎程式設計(二),Fundamental Computer ProgrammingII,,李弘霖,"Lee,Hung-Lin","407 ,5002 408 ,5002"
"College of Engineering(Master Program) , First Year",EG009,B,基礎程式設計(二),Fundamental Computer ProgrammingII,,李弘霖,"Lee,Hung-Lin","409 ,5002 410 ,5002"
"College of Engineering(Master Program) , First Year",EG010,A,基礎程式設計(二),Fundamental Computer ProgrammingII *智慧製造學程,,謝建興,Jiann-Shing Shieh,"502 ,3216 503 ,3216"
"College of Engineering(Master Program) , First Year",EG010,B,基礎程式設計(二),Fundamental Computer ProgrammingII *智慧製造學程,,吳昌暉,Chang-Huei Wu,"206 ,3301 207 ,3301"
"College of Engineering(Master Program) , First Year",EG010,C,基礎程式設計(二),Fundamental Computer ProgrammingII *Teaching in English *智慧製造學程,,謝建興,Jiann-Shing Shieh,"106 ,3216 107 ,3216"
"College of Engineering(Master Program), Second Year",EG201,A,智慧生產概論,Introduction to Intelligent Production *工業4.0－智慧生產學程 *智慧製造學程,Department Elective Courses,孫天龍,Tien-Lung Sun,"307 ,3208 308 ,3208 309 ,3208"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME107,A,微積分（二）,Calculus II,Department Compulsory Courses,江右君,Yu-Chun Chiang,"108 ,3110 109 ,3110 209 ,3110"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME107,B,微積分（二）,Calculus II,Department Compulsory Courses,江右君,Yu-Chun Chiang,"106 ,3110 107 ,3110 210 ,3110"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME115,A,工程材料,Engineering Materials *全校性跨領域--材料科技學程,Department Compulsory Courses,沈家傑,Chia-Chieh Shen,"102 ,3103 103 ,3103 104 ,3103"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME115,B,工程材料,Engineering Materials *全校性跨領域--材料科技學程,Department Compulsory Courses,沈家傑,Chia-Chieh Shen,"407 ,3101 408 ,3101 409 ,3101"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME117,A,普通物理,General Physics,Department Compulsory Courses,余念一,Niann-i Yu,"506 ,3110 507 ,3110 508 ,3110"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME124,A,基礎程式設計實驗（二）,Computer Programming Lab. II *智慧製造學程,Department Compulsory Courses,謝建興,Jiann-Shing Shieh,"504 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME124,B,基礎程式設計實驗（二）,Computer Programming Lab. II *智慧製造學程,Department Compulsory Courses,吳昌暉,Chang-Huei Wu,"208 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME126,A,工場實習（二）,Workshop Practice II,Department Compulsory Courses,李其源,Chi-Yuan Lee,"406 ,3301 407 ,3301 408 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME126,B,工場實習（二）,Workshop Practice II,Department Compulsory Courses,李其源,Chi-Yuan Lee,"102 ,3301 103 ,3301 104 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME309,A,材料力學,Mechanics of Materials *全校性跨領域--材料科技學程,Department Compulsory Courses,余念一,Niann-i Yu,"206 ,3110 207 ,3110 208 ,3110"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME309,B,材料力學,Mechanics of Materials *Teaching in English *全校性跨領域--材料科技學程,Department Compulsory Courses,沈家傑,Chia-Chieh Shen,"302 ,3101 303 ,3101 304 ,3101"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME475,A1,機械畫,Mechanical Drawing,,徐瑞培,JUI-PEI HSU,"309 ,3301 310 ,3301 410 ,3301"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME308,A,機械工程實驗（二）,Mechanical Engineering Lab.II,Department Compulsory Courses,李其源,Chi-Yuan Lee,"202 ,3013 203 ,3013 204 ,3013"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME308,B,機械工程實驗（二）,Mechanical Engineering Lab.II,Department Compulsory Courses,李其源,Chi-Yuan Lee,"502 ,3013 503 ,3013 504 ,3013"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME310,A,機械設計（二）,Mechanical Design II *Teaching in English,Department Compulsory Courses,徐業良,Yeh-Liang Hsu,"406 ,3110 407 ,3110 408 ,3110 409 ,3110"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME311,A,專題研究（一）,Research Project I *全校性跨領域--綠色能源學程,Department Compulsory Courses,系主任等,,
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME311,B,專題研究（一）,Research Project I *全校性跨領域--綠色能源學程,Department Compulsory Courses,系主任等,,
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME311,C,專題研究（一）,Research Project I *全校性跨領域--綠色能源學程,Department Compulsory Courses,系主任等,,
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME311,D,專題研究（一）,Research Project I *全校性跨領域--綠色能源學程,Department Compulsory Courses,系主任等,,
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME311,E,專題研究（一）,Research Project I *全校性跨領域--綠色能源學程,Department Compulsory Courses,系主任等,,
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME311,F,專題研究（一）,Research Project I *全校性跨領域--綠色能源學程,Department Compulsory Courses,系主任等,,
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME322,A,熱傳學,Heat Transfer *Teaching in English,Department Compulsory Courses,翁芳柏,Fangbor Weng,"402 ,3110 403 ,3110 404 ,3110"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME381,A,機械工程實務,Practice of Mechanical Engineering,Department Elective Courses,江右君,Yu-Chun Chiang,"103 ,3303 104 ,3303"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME382,A,機器人作業系統,Robot Operating System,Department Elective Courses,林柏江,"Po-Chiang,Lin","302 ,3301 303 ,3301 304 ,3301"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME383,A,機械職能與關鍵就業力,Competencies and Key Employability Skills of Mechanical Engineers,Department Elective Courses,陳明禮,"MING-LI,CHEN","207 ,3214 208 ,3214 209 ,3214"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME444,A,電腦機械繪圖,Computer-Aided Drafting,Department Elective Courses,陳聯超,"Chen,Lian-Chao","506 ,3301 507 ,3301 508 ,3301"
"Department of Mechanical Engineering(Undergraduate Program) , Junior",ME470,A,汽車學,Automotive Engineering,Department Elective Courses,邱盛乾,Chiu Sheng-Chien,"106 ,3101 107 ,3101 108 ,3101"
"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",ME204,A,工程數學（二）,Engineering Mathematics II,Department Compulsory Courses,林育才,Yur-Tsai Lin,"402 ,3101 403 ,3101 404 ,3101"
"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",ME204,B,工程數學（二）,Engineering Mathematics II *Teaching in English,Department Compulsory Courses,林育才,Yur-Tsai Lin,"202 ,3110 203 ,3110 204 ,3110"
"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",ME207,A,機動學,Mechanisms *Teaching in English,Department Compulsory Courses,陳松郁,"CHEN,SONG-YU","406 ,3208 407 ,3208 408 ,3208"
"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",ME210,A,熱力學（二）,Thermodynamics II *全校性跨領域--綠色能源學程,Department Compulsory Courses,林育才,Yur-Tsai Lin,"502 ,3101 503 ,3101 504 ,3101"
"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",ME210,B,熱力學（二）,Thermodynamics II *全校性跨領域--綠色能源學程,Department Compulsory Courses,鐘國濱,Guo-Bin Jung,"102 ,3101 103 ,3101 104 ,3101"
"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",ME335,A,自動控制,Automatic Control *工業4.0－智慧生產學程,Department Compulsory Courses,陳傳生,Chwan-Hsen Chen,"302 ,3110 303 ,3110 304 ,3110"
"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",ME335,B,自動控制,Automatic Control *Teaching in English *工業4.0－智慧生產學程,Department Compulsory Courses,陳松郁,"CHEN,SONG-YU","302 ,3102 303 ,3102 304 ,3102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH105,A,普通化學暨分析實驗,General Chemistry & Analysis Laboratory,Department Compulsory Courses,王清海,,"206 ,2205 207 ,2205 208 ,2205"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH105,B,普通化學暨分析實驗,General Chemistry & Analysis Laboratory,Department Compulsory Courses,王清海,,"506 ,2206 507 ,2206 508 ,2206"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH129,A,普通物理（二）,General PhysicsII,Department Compulsory Courses,孫安正,An-Cheng Sun,"103 ,2112 104 ,2112 504 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH129,B,普通物理（二）,General PhysicsII,Department Compulsory Courses,孫安正,An-Cheng Sun,"101 ,2112 102 ,2112 502 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH131,A,微積分（二）,CalculusII,Department Compulsory Courses,黃駿,Chun Huang,"203 ,2112 204 ,2112 502 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH131,B,微積分（二）,CalculusII,Department Compulsory Courses,黃駿,Chun Huang,"201 ,2112 202 ,2112 503 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH220,A,材料科學,Material Science *Teaching in English *全校性跨領域--材料科技學程,Department Compulsory Courses,傅薈如,,"302 ,2008 303 ,2008 304 ,2008"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH345,A,無機化學,Inorganic Chemistry,Department Compulsory Courses,廖建勛,Chien-Shiun Liao,"401 ,2112 402 ,2112 503 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH345,B,無機化學,Inorganic Chemistry,Department Compulsory Courses,廖建勛,Chien-Shiun Liao,"403 ,2112 404 ,2112 504 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH105,A,普通化學暨分析實驗,General Chemistry & Analysis Laboratory,Department Compulsory Courses,王清海,,"206 ,2205 207 ,2205 208 ,2205"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH105,B,普通化學暨分析實驗,General Chemistry & Analysis Laboratory,Department Compulsory Courses,王清海,,"506 ,2206 507 ,2206 508 ,2206"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH129,A,普通物理（二）,General PhysicsII,Department Compulsory Courses,孫安正,An-Cheng Sun,"103 ,2112 104 ,2112 504 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH129,B,普通物理（二）,General PhysicsII,Department Compulsory Courses,孫安正,An-Cheng Sun,"101 ,2112 102 ,2112 502 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH131,A,微積分（二）,CalculusII,Department Compulsory Courses,黃駿,Chun Huang,"203 ,2112 204 ,2112 502 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH131,B,微積分（二）,CalculusII,Department Compulsory Courses,黃駿,Chun Huang,"201 ,2112 202 ,2112 503 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH220,A,材料科學,Material Science *Teaching in English *全校性跨領域--材料科技學程,Department Compulsory Courses,傅薈如,,"302 ,2008 303 ,2008 304 ,2008"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH345,A,無機化學,Inorganic Chemistry,Department Compulsory Courses,廖建勛,Chien-Shiun Liao,"401 ,2112 402 ,2112 503 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH345,B,無機化學,Inorganic Chemistry,Department Compulsory Courses,廖建勛,Chien-Shiun Liao,"403 ,2112 404 ,2112 504 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH115,A,計算機程式（一）,Computer ProgrammingI,Department Compulsory Courses,李弘霖,"Lee,Hung-Lin","303 ,5003 501 ,5003 502 ,5003"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH115,B,計算機程式（一）,Computer ProgrammingI,Department Compulsory Courses,李弘霖,"Lee,Hung-Lin","304 ,5003 503 ,5003 504 ,5003"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH218,A,輸送現象與單元操作（一）,Transport Phenomena and Unit OperationsI *Teaching in English *全校性跨領域--綠色能源學程,Department Compulsory Courses,廖朝光,Chau-Kuang Liau,"304 ,2115 503 ,2115 504 ,2115"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH218,B,輸送現象與單元操作（一）,Transport Phenomena and Unit OperationsI *Teaching in English *全校性跨領域--綠色能源學程,Department Compulsory Courses,廖朝光,Chau-Kuang Liau,"303 ,2115 501 ,2115 502 ,2115"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH222,A,電子材料概論,Introduction to Electronic Material *全校性跨領域--材料科技學程,Department Elective Courses,謝建德,Chien-Te Hsieh,"506 ,2103 507 ,2103 508 ,2103"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH226,A,有機與材料化學實驗,Organic Chemistry & Materials Laboratory,Department Compulsory Courses,廖建勛,Chien-Shiun Liao,"106 ,2205 107 ,2205 108 ,2205"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH226,B,有機與材料化學實驗,Organic Chemistry & Materials Laboratory,Department Compulsory Courses,孫安正,An-Cheng Sun,"406 ,2205 407 ,2205 408 ,2205"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH227,A,物理化學與材料實驗,Physical Chemistry & Materials Laboratory,Department Compulsory Courses,邱冠雄,KHOO KUAN SHIONG,"106 ,2202 107 ,2202 108 ,2202"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH227,B,物理化學與材料實驗,Physical Chemistry & Materials Laboratory,Department Compulsory Courses,邱冠雄,KHOO KUAN SHIONG,"406 ,2202 407 ,2202 408 ,2202"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH229,A,細胞生物學（二）,Cell BiologyII *生技醫藥產業學程,Department Elective Courses,王旭輝,WANG HSU HUI,"206 ,2105 207 ,2105"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH231,A,有機化學（二）,Organic ChemistryII,Department Compulsory Courses,林秀麗,Hsiu-Li Lin,"103 ,2102 203 ,2102 204 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH231,B,有機化學（二）,Organic ChemistryII,Department Compulsory Courses,林秀麗,Hsiu-Li Lin,"104 ,2102 201 ,2102 202 ,2102"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH233,A,工程數學（二）,Engineering MathematicsII,Department Compulsory Courses,廖朝光,Chau-Kuang Liau,"402 ,2008 403 ,2008 404 ,2008"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH235,A,物理化學（二）,Physical ChemistryII *Teaching in English,Department Compulsory Courses,王清海,,"104 ,2115 201 ,2115 202 ,2115"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH235,B,物理化學（二）,Physical ChemistryII *Teaching in English,Department Compulsory Courses,王清海,,"103 ,2115 203 ,2115 204 ,2115"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH339,A,高分子聚合,Polymerization *全校性跨領域--材料科技學程,Department Elective Courses,楊博智,Po-Chih Yang,"307 ,2105 308 ,2105 309 ,2105"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH349,A,工業微生物,Industrial Microbiology *生技醫藥產業學程,Department Elective Courses,陳姍玗,Shan-Yu Chen,"307 ,2601 308 ,2601 309 ,2601"
"Department of Chemical Engineering and Materials Science(Undergraduate Program) , Sophomore",CH448,A,無機材料,Inorganic Materials *全校性跨領域--材料科技學程,Department Elective Courses,傅薈如,,"206 ,2104 207 ,2104 208 ,2104"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS106,A,程式設計（一）,Computer ProgrammingI *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *互動多媒體微學程 *互動多媒體學程 *智慧校園與智慧照護學程,Department Compulsory Courses,周志岳,Chih-Yueh Chou,"106 ,1201A 107 ,1201A 108 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS107,A,離散數學,Discrete Mathematics,Department Compulsory Courses,黃毅然,Yieh-Ran Haung,"208 ,60104 406 ,60104 407 ,60104"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS107,B,離散數學,Discrete Mathematics *Teaching in English,Department Compulsory Courses,張經略,,"208 ,60312 406 ,60312 407 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS114,A,程式設計（二）,Computer ProgrammingII *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *互動多媒體微學程 *互動多媒體學程,Department Compulsory Courses,林基成,Ji-Cherng Lin,"109 ,1401B 203 ,1401B 204 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS114,B,程式設計（二）,Computer ProgrammingII *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *互動多媒體微學程 *互動多媒體學程,Department Compulsory Courses,黃怡錚,,"109 ,1501B 203 ,60104 204 ,60104"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS148,A,微積分（二）,CalculusII,Department Compulsory Courses,蔡侑庭,YU-TING TSAI,"103 ,60105 104 ,60105 209 ,60105"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS148,B,微積分（二）,CalculusII,Department Compulsory Courses,黃依賢,I-Shyan Hwang,"103 ,1401B 104 ,1401B 209 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS151,A,網站程式設計實務,Website Programming Practice,Department Elective Courses,鐘祥仁,,"307 ,1201A 308 ,1201A 309 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS153,A,電子電路學,Circuit Theory,Department Compulsory Courses,曾王道,Wang-Dauh Tseng,"403 ,70103 404 ,70103 502 ,70103"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS153,B1,電子電路學,Circuit Theory *Teaching in English,Department Compulsory Courses,艾哈邁德,AFAROJ AHAMAD,"408 ,1301B 409 ,1301B 410 ,1301B"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS155,A,醫學工程概論（二）,Introduction to Medical EngineeringII,Department Elective Courses,侯沛羽,"HOU,PEI-YU","206 ,2008 207 ,2008"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS156,A,醫療資訊學概論,Introduction to Medical Informatics,Department Elective Courses,徐晨雄,"Chen-Xiong,Hsu","301 ,60312 302 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS157,A,競技程式設計（一）,Competitive ProgrammingI,Department Elective Courses,林基成,Ji-Cherng Lin,"408 ,1201A 409 ,1201A 410 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS203,A,資料結構,Data Structures *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *互動多媒體微學程 *互動多媒體學程,Department Compulsory Courses,陳李書滕,"CHEN,LEE SHU-TENG","402 ,1102 403 ,1102 404 ,1102"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS205,A,工程數學,Engineering Mathematics,Department Elective Courses,廖原煌,Yuan-Hwang Liao,"307 ,1102 308 ,1102 309 ,1102"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS222,A,程式語言,Programming Languages,Department Elective Courses,徐逸懷,YI-HUAI HSU,"202 ,1111 203 ,1111 204 ,1111"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS226,A,機率與統計,Probability and Statistics,Department Compulsory Courses,黃毅然,Yieh-Ran Haung,"207 ,60104 408 ,60104 409 ,60104"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS226,B,機率與統計,Probability and Statistics *Teaching in English,Department Compulsory Courses,蔡侑庭,YU-TING TSAI,"207 ,60312 408 ,60312 409 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS233,A,線性代數,Linear Algebra,Department Compulsory Courses,林啟芳,Chi-Fang Lin,"102 ,60104 103 ,60104 104 ,60104"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS250,A,組合語言與計算機組織,Assembly Language and Computer Organization *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,Department Compulsory Courses,林明義,"Ming-Yi,Lin","302 ,60105 406 ,60105 407 ,60105"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS250,B,組合語言與計算機組織,Assembly Language and Computer Organization *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,Department Compulsory Courses,林佑政,"Lin,Yu-Cheng","302 ,1401B 406 ,1401B 407 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS303,A,Ｊａｖａ概論,Introduction to Java *互動多媒體微學程 *互動多媒體學程,Department Elective Courses,歐昱言,Yu-Yen Ou,"402 ,1201A 403 ,1201A 404 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS305,A,作業系統概論,Introduction to Operating System *Teaching in English *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,Department Compulsory Courses,IHSAN ULLAH,伊桑,"106 ,2008 107 ,2008 208 ,2008"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS305,B,作業系統概論,Introduction to Operating System *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,Department Compulsory Courses,楊正仁,Cheng-Zen Yang,"106 ,1401B 107 ,1401B 208 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS309,A,演算法概論,Introduction to Algorithms *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *金融科技微學程四,Department Compulsory Courses,張經略,,"303 ,60312 304 ,60312 410 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS324,A,視窗程式設計（二）,Windows ProgrammingII,Department Elective Courses,陳琨,KUN CHEN,"307 ,1008 308 ,1008 309 ,1008"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS335,A,無線網路概論,Introduction to Wireless Internet,,陳彥安,,"502 ,1501B 503 ,1501B 504 ,1501B"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS410,A,智慧型科技應用,Information and Communication Technology for Intelligent Applications,Department Elective Courses,卓綵倫,"CHO,TSIA-LUN","108 ,1008 109 ,1008 110 ,1008"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE110,A,微積分（二）,CalculusII,Department Compulsory Courses,梁韵嘉,Yun-Chia Liang,"209 ,70103 406 ,70103 407 ,70103 408 ,70103"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE114,A,工程圖學,Engineering Graphics,Department Compulsory Courses,鄭元杰,Yuan-Jye Tseng,"502 ,5006 503 ,5006 504 ,5006"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE114,B,工程圖學,Engineering Graphics,Department Compulsory Courses,鄭元杰,Yuan-Jye Tseng,"506 ,5006 507 ,5006 508 ,5006"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE124,A,線性代數,Linear Algebra *Teaching in English,Department Compulsory Courses,阮美心,NGUYEN THI MY HANH,"108 ,2008 109 ,2008 110 ,2008"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE124,B,線性代數,Linear Algebra *Teaching in English,Department Compulsory Courses,阮美心,NGUYEN THI MY HANH,"206 ,2115 207 ,2115 208 ,2115"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE211,A,工作研究,Work Study,Department Compulsory Courses,林瑞豐,Jui-Feng Lin,"507 ,2621 508 ,2621 509 ,2621"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE211,B,工作研究,Work Study,Department Compulsory Courses,林瑞豐,Jui-Feng Lin,"502 ,2621 503 ,2621 504 ,2621"
"Department of Industrial Engineering and Management(Undergraduate Program), Freshmen",IE301,A,工業會計,Industrial Accounting,Department Elective Courses,戴家偉,TAI CHIA-WEI,"302 ,2603 303 ,2603 304 ,2603"
"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",IE233,A,研究方法,Research Methodology,Department Compulsory Courses,陳家正,Chia-Cheng Chen,"408 ,2601 409 ,2601"
"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",IE233,B,研究方法,Research Methodology,Department Compulsory Courses,陳家正,Chia-Cheng Chen,"406 ,2601 407 ,2601"
"Department of Industrial Engineering and Management(Undergraduate Program) , Junior",IE237,A,統計建模與電腦化實作,Statistical Modeling and Computerized Implementations *人因工程與設計 *工業4.0－智慧生產學程,Department Elective Courses,陳雲岫,Yun-Shiow Chen,"307 ,2624 308 ,2624 309 ,2624"
