Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS140,B,資訊概論,Introduction to Computer Science *Teaching in English *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,Department Compulsory Courses,胡光泰,HO QUANG THAI,"403 ,1401B 404 ,1401B 502 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS147,A,微積分（一）,CalculusI,Department Compulsory Courses,黃依賢,I-Shyan Hwang,"108 ,60312 208 ,60312 209 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS152,A,普通物理,General Physics,Department Elective Courses,陳永茂,"CHEN,YEONG-MAW","102 ,1401B 103 ,1401B 104 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS154,A,醫學工程概論（一）,Introduction to Medical EngineeringI,Department Elective Courses,侯沛羽,"HOU,PEI-YU","206 ,1401B 207 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS380,A,Ｗｅｂ程式設計,Web Programming *互動多媒體微學程 *互動多媒體學程 *智慧校園與智慧照護學程,Department Elective Courses,歐昱言,Yu-Yen Ou,"406 ,1201A 407 ,1201A 408 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS380,B,Ｗｅｂ程式設計,Web Programming *互動多媒體微學程 *互動多媒體學程 *智慧校園與智慧照護學程,Department Elective Courses,簡廷因,Ting-Ying Chien,"307 ,1008 308 ,1008 309 ,1008"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS226,A,機率與統計,Probability and Statistics,Department Compulsory Courses,黃毅然,Yieh-Ran Haung,"406 ,1102 407 ,1102 408 ,1102"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS305,A,作業系統概論,Introduction to Operating System *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,Department Compulsory Courses,楊正仁,Cheng-Zen Yang,"506 ,1102 507 ,1102 508 ,1102"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS309,A,演算法概論,Introduction to Algorithms *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *金融科技微學程四,Department Compulsory Courses,許博凱,"BO-KAI, HSU","402 ,1213 403 ,1213 404 ,1213"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS311,A,計算機網路概論,Introduction to Computer Networks,,黃毅然,Yieh-Ran Haung,"307 ,60104 308 ,60104 309 ,60104"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS321,A,編譯程式概論,Introduction to Compiler *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,,徐逸懷,YI-HUAI HSU,"202 ,60312 203 ,60312 204 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS321,B,編譯程式概論,Introduction to Compiler *Teaching in English *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,,胡光泰,HO QUANG THAI,"302 ,1401B 303 ,1401B 304 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS322,A,微型應用程式設計實務,Mobile Application Programming *互動多媒體微學程 *互動多媒體學程,Department Elective Courses,鐘祥仁,,"302 ,1201A 303 ,1201A 304 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS337,A,雲端運算與服務,Cloud Computing and Services *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *金融科技微學程二 *智慧校園與智慧照護學程,,陳李書滕,"CHEN,LEE SHU-TENG","102 ,60105 103 ,60105 104 ,60105"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS341,A,生物學概論,Introduction to Biology *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程,Department Elective Courses,邱昱偉,,"302 ,60105 303 ,60105 304 ,60105"
"Department of Computer Science and Engineering(Undergraduate Program) , Junior",CS349,A,智慧物聯網,Artificial Intelligence of Things *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程 *智慧校園與智慧照護學程,,陳彥安,)、陳尚寬(Shang-Kuan Chen,"106 ,1201A 107 ,1201A 108 ,1201A"
